date,advancers,decliners,unchanged,limit_up,limit_down,adr,score,regime
2004-03-01,536,293,100,129,10,1.829,0.6465,BULL
2004-03-02,460,353,119,64,13,1.303,0.5658,BULL
2004-03-03,315,505,114,45,32,0.624,0.3842,BEAR
2004-03-04,652,155,129,67,13,4.206,0.8079,STRONG_BULL
2004-03-05,311,525,98,28,80,0.592,0.3719,BEAR
2004-03-08,300,507,126,7,33,0.592,0.3719,BEAR
2004-03-09,550,253,134,36,10,2.174,0.6849,STRONG_BULL
2004-03-10,212,621,105,14,32,0.341,0.2543,CRASH
2004-03-11,355,392,192,6,18,0.906,0.4753,NEUTRAL
2004-03-12,266,569,105,5,43,0.467,0.3183,CRASH
2004-03-15,179,672,88,10,112,0.266,0.2101,CRASH
2004-03-16,197,618,124,12,40,0.319,0.2418,CRASH
2004-03-17,290,516,140,16,36,0.562,0.3598,BEAR
2004-03-18,793,91,63,153,3,8.714,0.8971,STRONG_BULL
2004-03-19,319,493,133,34,23,0.647,0.3928,BEAR
2004-03-22,1,933,4,0,264,0.001,0.001,CRASH
2004-03-23,293,620,30,218,20,0.473,0.3211,CRASH
2004-03-24,392,443,109,68,23,0.885,0.4695,NEUTRAL
2004-03-25,232,577,135,11,71,0.402,0.2867,CRASH
2004-03-26,176,646,125,7,83,0.272,0.2138,CRASH
2004-03-29,926,9,14,252,1,102.889,0.9904,STRONG_BULL
2004-03-30,480,361,107,13,51,1.33,0.5708,BULL
2004-03-31,378,448,124,2,108,0.844,0.4577,NEUTRAL
2004-04-01,369,466,116,51,24,0.792,0.442,BEAR
2004-04-02,512,245,190,15,18,2.09,0.6764,STRONG_BULL
2004-04-05,657,165,127,47,12,3.982,0.7993,STRONG_BULL
2004-04-06,246,575,125,6,47,0.428,0.2997,CRASH
2004-04-07,312,463,171,14,18,0.674,0.4026,BEAR
2004-04-08,380,393,176,20,18,0.967,0.4916,NEUTRAL
2004-04-09,227,568,146,15,29,0.4,0.2857,CRASH
2004-04-12,798,65,83,85,9,12.277,0.9247,STRONG_BULL
2004-04-13,432,376,136,30,28,1.149,0.5347,BULL
2004-04-14,471,335,137,58,15,1.406,0.5844,BULL
2004-04-15,177,675,91,25,77,0.262,0.2076,CRASH
2004-04-16,570,206,165,73,9,2.767,0.7345,STRONG_BULL
2004-04-19,269,546,125,33,20,0.493,0.3302,CRASH
2004-04-20,342,428,169,29,12,0.799,0.4441,BEAR
2004-04-21,385,410,145,30,20,0.939,0.4843,NEUTRAL
2004-04-22,165,647,127,18,65,0.255,0.2032,CRASH
2004-04-23,242,564,132,16,37,0.429,0.3002,CRASH
2004-04-27,169,641,128,6,66,0.264,0.2089,CRASH
2004-04-28,212,569,157,9,63,0.373,0.2717,CRASH
2004-04-29,87,793,60,0,155,0.11,0.0991,CRASH
2004-04-30,47,854,37,7,194,0.055,0.0521,CRASH
2004-05-03,169,666,109,37,77,0.254,0.2026,CRASH
2004-05-04,774,93,82,111,16,8.323,0.8927,STRONG_BULL
2004-05-05,16,917,16,3,254,0.017,0.0167,CRASH
2004-05-06,525,317,107,99,20,1.656,0.6235,BULL
2004-05-10,56,849,45,3,180,0.066,0.0619,CRASH
2004-05-11,443,354,154,48,33,1.251,0.5558,BULL
2004-05-12,657,138,158,37,27,4.761,0.8264,STRONG_BULL
2004-05-13,176,637,140,9,71,0.276,0.2163,CRASH
2004-05-14,85,735,130,6,108,0.116,0.1039,CRASH
2004-05-17,11,902,33,1,237,0.012,0.0119,CRASH
2004-05-18,524,262,161,73,21,2.0,0.6667,BULL
2004-05-19,900,13,39,235,2,69.231,0.9858,STRONG_BULL
2004-05-20,166,661,122,8,115,0.251,0.2006,CRASH
2004-05-21,833,43,72,135,9,19.372,0.9509,STRONG_BULL
2004-05-24,310,469,169,12,50,0.661,0.398,BEAR
2004-05-25,312,461,176,18,64,0.677,0.4037,BEAR
2004-05-26,526,217,210,28,33,2.424,0.7079,STRONG_BULL
2004-05-27,261,488,199,10,52,0.535,0.3485,BEAR
2004-05-28,567,178,207,28,17,3.185,0.7611,STRONG_BULL
2004-06-01,221,554,171,20,70,0.399,0.2852,CRASH
2004-06-02,75,749,123,5,124,0.1,0.0909,CRASH
2004-06-03,48,816,86,5,172,0.059,0.0557,CRASH
2004-06-07,776,75,97,122,28,10.347,0.9119,STRONG_BULL
2004-06-08,367,345,235,26,74,1.064,0.5155,BULL
2004-06-09,295,431,217,22,68,0.684,0.4062,BEAR
2004-06-10,173,575,198,10,100,0.301,0.2314,CRASH
2004-06-11,90,714,136,3,131,0.126,0.1119,CRASH
2004-06-14,41,799,95,3,186,0.051,0.0485,CRASH
2004-06-15,486,250,201,76,30,1.944,0.6603,BULL
2004-06-16,73,734,130,10,136,0.099,0.0901,CRASH
