date,value,signal
2001-05-07,115.32,YELLOW
2001-05-08,116.08,YELLOW
2001-05-09,116.05,YELLOW
2001-05-10,116.37,YELLOW
2001-05-11,116.84,YELLOW
2001-05-14,117.14,YELLOW
2001-05-15,116.79,YELLOW
2001-05-16,116.14,YELLOW
2001-05-17,116.12,YELLOW
2001-05-18,116.41,YELLOW
2001-05-21,116.52,YELLOW
2001-05-22,117.69,YELLOW
2001-05-23,118.29,YELLOW
2001-05-24,118.36,YELLOW
2001-05-25,118.18,YELLOW
2001-05-29,118.22,YELLOW
2001-05-30,118.22,YELLOW
2001-05-31,119.07,YELLOW
2001-06-01,118.89,YELLOW
2001-06-04,119.19,YELLOW
2001-06-05,118.7,RED
2001-06-06,119.36,RED
2001-06-07,119.09,RED
2001-06-08,119.21,RED
2001-06-11,120.05,RED
2001-06-12,119.61,RED
2001-06-13,119.03,RED
2001-06-14,117.99,YELLOW
2001-06-15,118.29,YELLOW
2001-06-18,118.36,YELLOW
2001-06-19,119.04,RED
2001-06-20,119.13,RED
2001-06-21,118.89,YELLOW
2001-06-22,118.91,YELLOW
2001-06-25,118.32,YELLOW
2001-06-26,118.07,YELLOW
2001-06-27,118.38,YELLOW
2001-06-28,120.01,RED
2001-06-29,119.43,RED
2001-07-02,119.67,RED
2001-07-03,119.6,RED
2001-07-04,119.91,RED
2001-07-05,120.9,RED
2001-07-06,119.9,RED
2001-07-09,119.89,RED
2001-07-10,119.13,YELLOW
2001-07-11,118.64,YELLOW
2001-07-12,119.09,YELLOW
2001-07-13,119.33,RED
2001-07-16,119.3,RED
2001-07-17,118.9,YELLOW
2001-07-18,117.38,GREEN
2001-07-19,117.33,GREEN
2001-07-20,117.21,GREEN
2001-07-23,117.85,GREEN
2001-07-24,117.12,GREEN
2001-07-25,116.64,GREEN
2001-07-26,116.74,GREEN
2001-07-27,116.94,GREEN
2001-07-30,117.2,GREEN
2001-07-31,117.18,GREEN
2001-08-01,116.56,GREEN
2001-08-02,116.28,GREEN
2001-08-03,116.14,GREEN
2001-08-06,116.42,GREEN
2001-08-07,116.83,GREEN
2001-08-08,116.54,GREEN
2001-08-09,115.25,GREEN
2001-08-10,115.29,GREEN
2001-08-13,115.01,GREEN
2001-08-14,114.39,GREEN
2001-08-15,113.19,GREEN
2001-08-16,113.08,GREEN
2001-08-17,112.99,GREEN
2001-08-20,113.4,GREEN
2001-08-21,113.29,GREEN
2001-08-22,113.27,GREEN
2001-08-23,113.09,GREEN
2001-08-24,113.33,GREEN
2001-08-27,113.39,GREEN
2001-08-28,113.43,GREEN
2001-08-29,113.54,GREEN
2001-08-30,112.84,GREEN
2001-08-31,113.42,GREEN
2001-09-03,113.67,GREEN
2001-09-04,115.68,GREEN
2001-09-05,115.6,GREEN
2001-09-06,114.97,GREEN
2001-09-07,114.05,GREEN
2001-09-10,114.57,GREEN
