date,regime
2025-04-02,unknown
2025-04-07,unknown
2025-04-08,unknown
2025-04-09,unknown
2025-04-10,unknown
2025-04-11,unknown
2025-04-14,unknown
2025-04-15,unknown
2025-04-16,unknown
2025-04-17,unknown
2025-04-18,unknown
2025-04-21,unknown
2025-04-22,unknown
2025-04-23,unknown
2025-04-24,unknown
2025-04-25,unknown
2025-04-28,unknown
2025-04-29,unknown
2025-04-30,unknown
2025-05-02,unknown
2025-05-05,unknown
2025-05-06,unknown
2025-05-07,unknown
2025-05-08,unknown
2025-05-09,unknown
2025-05-12,unknown
2025-05-13,unknown
2025-05-14,unknown
2025-05-15,unknown
2025-05-16,unknown
2025-05-19,unknown
2025-05-20,unknown
2025-05-21,unknown
2025-05-22,unknown
2025-05-23,unknown
2025-05-26,unknown
2025-05-27,unknown
2025-05-28,unknown
2025-05-29,unknown
2025-06-02,unknown
2025-06-03,unknown
2025-06-04,unknown
2025-06-05,unknown
2025-06-06,unknown
2025-06-09,unknown
2025-06-10,unknown
2025-06-11,unknown
2025-06-12,unknown
2025-06-13,unknown
2025-06-16,unknown
2025-06-17,unknown
2025-06-18,unknown
2025-06-19,unknown
2025-06-20,unknown
2025-06-23,unknown
2025-06-24,unknown
2025-06-25,unknown
2025-06-26,unknown
2025-06-27,unknown
2025-06-30,choppy
2025-07-01,choppy
2025-07-02,bull
2025-07-03,bull
2025-07-04,bull
2025-07-07,bull
2025-07-08,bull
2025-07-09,bull
2025-07-10,bull
2025-07-11,bull
2025-07-14,bull
2025-07-15,bull
2025-07-16,panic
2025-07-17,panic
2025-07-18,panic
2025-07-21,panic
2025-07-22,panic
2025-07-23,panic
2025-07-24,panic
2025-07-25,panic
2025-07-28,panic
2025-07-29,choppy
2025-07-30,choppy
2025-07-31,choppy
2025-08-01,choppy
2025-08-04,choppy
2025-08-05,choppy
2025-08-06,choppy
2025-08-07,choppy
2025-08-08,choppy
2025-08-11,choppy
2025-08-12,choppy
2025-08-13,choppy
2025-08-14,bull
2025-08-15,bull
2025-08-18,bull
2025-08-19,bull
2025-08-20,panic
2025-08-21,panic
2025-08-22,panic
2025-08-25,panic
2025-08-26,panic
2025-08-27,bull
2025-08-28,bull
2025-08-29,bull
2025-09-01,panic
2025-09-02,panic
2025-09-03,panic
2025-09-04,panic
2025-09-05,panic
2025-09-08,bull
2025-09-09,bull
2025-09-10,bull
2025-09-11,bull
2025-09-12,bull
2025-09-15,bull
2025-09-16,bull
2025-09-17,bull
2025-09-18,bull
2025-09-19,bull
2025-09-22,bull
2025-09-23,bull
2025-09-24,bull
2025-09-25,bull
2025-09-26,panic
2025-09-30,panic
2025-10-01,panic
2025-10-02,panic
2025-10-03,panic
2025-10-07,bull
2025-10-08,bull
2025-10-09,bull
2025-10-13,bull
2025-10-14,panic
2025-10-15,panic
2025-10-16,panic
2025-10-17,panic
2025-10-20,panic
2025-10-21,bear
2025-10-22,bear
2025-10-23,bear
2025-10-27,choppy
2025-10-28,choppy
2025-10-29,choppy
2025-10-30,choppy
2025-10-31,bull
2025-11-03,choppy
2025-11-04,panic
2025-11-05,panic
2025-11-06,panic
2025-11-07,panic
2025-11-10,panic
2025-11-11,choppy
2025-11-12,choppy
2025-11-13,choppy
2025-11-14,panic
2025-11-17,panic
2025-11-18,panic
2025-11-19,panic
2025-11-20,panic
2025-11-21,panic
2025-11-24,panic
2025-11-25,panic
2025-11-26,panic
2025-11-27,panic
2025-11-28,bear
2025-12-01,bear
2025-12-02,bear
2025-12-03,bear
2025-12-04,bear
2025-12-05,bear
2025-12-08,bear
2025-12-09,bear
2025-12-10,bear
2025-12-11,bear
2025-12-12,bear
2025-12-15,bear
2025-12-16,panic
2025-12-17,panic
2025-12-18,panic
2025-12-19,panic
2025-12-22,panic
2025-12-23,choppy
2025-12-24,choppy
2025-12-26,choppy
2025-12-29,choppy
2025-12-30,choppy
2025-12-31,choppy
2026-01-02,choppy
2026-01-05,choppy
2026-01-06,choppy
2026-01-07,choppy
2026-01-08,choppy
2026-01-09,choppy
2026-01-12,choppy
2026-01-13,choppy
2026-01-14,choppy
2026-01-15,choppy
2026-01-16,choppy
2026-01-19,choppy
2026-01-20,choppy
2026-01-21,choppy
2026-01-22,choppy
2026-01-23,choppy
2026-01-26,choppy
2026-01-27,choppy
2026-01-28,choppy
2026-01-29,choppy
2026-01-30,choppy
2026-02-02,panic
2026-02-03,panic
2026-02-04,panic
2026-02-05,panic
2026-02-06,panic
2026-02-09,panic
2026-02-10,panic
2026-02-11,panic
2026-02-23,choppy
2026-02-24,choppy
2026-02-25,choppy
2026-02-26,choppy
2026-03-02,choppy
2026-03-03,panic
2026-03-04,panic
2026-03-05,panic
2026-03-06,panic
2026-03-09,panic
2026-03-10,panic
2026-03-11,panic
2026-03-12,panic
2026-03-13,panic
2026-03-16,bear
2026-03-17,bear
2026-03-18,choppy
2026-03-19,bear
2026-03-20,bear
2026-03-23,panic
2026-03-24,panic
2026-03-25,panic
2026-03-26,panic
2026-03-27,panic
2026-03-30,bear
2026-03-31,panic
2026-04-01,panic
2026-04-02,panic
2026-04-07,panic
2026-04-08,panic
2026-04-09,bear
2026-04-10,bear
2026-04-13,bear
2026-04-14,bear
2026-04-15,choppy
2026-04-16,choppy
2026-04-17,choppy
2026-04-20,choppy
2026-04-21,choppy
2026-04-22,choppy
2026-04-23,panic
2026-04-24,panic
2026-04-27,panic
2026-04-28,panic
