event_date,event_market_ret,first_sr_warning,first_any_warning,sr_lead_days,any_lead_days,sr_change_14d_pct
2025-08-07,-0.024025179586989878,,2025-07-18,,20.0,-2.4656968703684945
2025-08-20,-0.03262522731607661,,2025-08-04,,16.0,-4.026049623414563
2025-09-01,-0.023623145763435827,,,,,-0.39686279663362356
2025-09-26,-0.032135729264294824,,,,,-1.4853951685457
2025-10-13,-0.022264370497399537,,,,,-0.4503383662410543
2025-11-04,-0.020690393257446166,,,,,-53.937103865858504
2025-12-16,-0.02424361160999274,,,,,4.142652642920819
2026-01-21,-0.019915309700941432,,,,,-15.908087729047072
2026-03-03,-0.026267926820610188,,,,,-17.748223323269908
2026-03-23,-0.041874072471058885,2026-03-10,2026-03-10,13.0,13.0,65.38687284437007
2026-04-23,-0.03851567208061519,2026-04-01,2026-04-01,22.0,22.0,6.235533244991243
