expr,ic_mean_is,ic_ir_is,n_days_is,valid_frac_is,abs_ic,abs_ir
"ts_std(amount, 5)",-0.0040439953256190915,-0.024179886957571887,974,1.0,0.0040439953256190915,0.024179886957571887
"ts_mean(amount, 10)",-0.005337618925690428,-0.029853874599241468,971,1.0,0.005337618925690428,0.029853874599241468
"ts_std(delta(close, 1), 10)",-0.0018368207909369694,-0.007958712147489711,970,1.0,0.0018368207909369694,0.007958712147489711
log(high),-0.010624836971276145,-0.04930651006545753,975,1.0,0.010624836971276145,0.04930651006545753
"delta(ret, 1)",-0.011536556601548354,-0.07181564791597696,974,1.0,0.011536556601548354,0.07181564791597696
"ts_rank(delta(high, 1), 20)",-0.007158184073805465,-0.04328122761852795,965,1.0,0.007158184073805465,0.04328122761852795
"ts_std(ts_std(ret, 5), 20)",0.006847937292848376,0.032803241152491336,965,1.0,0.006847937292848376,0.032803241152491336
"ts_rank(close, 10)",-0.02313379155362431,-0.1279634440603457,969,0.9979402677651905,0.02313379155362431,0.1279634440603457
"log(ts_mean(volume, 10))",0.0016933675235260635,0.0097531231524528,971,1.0,0.0016933675235260635,0.0097531231524528
"ts_std(close, 20)",0.0012520224755198006,0.005467794850058948,966,1.0,0.0012520224755198006,0.005467794850058948
zscore_xs(ret),-0.022040653847518046,-0.1293673512141789,975,1.0,0.022040653847518046,0.1293673512141789
log(open),-0.010766241269970056,-0.05002382302724608,975,1.0,0.010766241269970056,0.05002382302724608
"ts_std(zscore_xs(volume), 10)",-0.001759527630294337,-0.011175633931077289,971,1.0,0.001759527630294337,0.011175633931077289
"ts_std(ts_std(high, 5), 20)",-0.0011681669464830519,-0.00518970872638289,965,1.0,0.0011681669464830519,0.00518970872638289
"zscore_xs(ts_mean(volume, 10))",0.0016933675235260635,0.0097531231524528,971,1.0,0.0016933675235260635,0.0097531231524528
"ts_rank(ts_mean(amount, 10), 10)",0.004056336313559952,0.028473872813844812,967,1.0,0.004056336313559952,0.028473872813844812
"ts_rank(ts_std(ret, 20), 20)",0.003958077927626447,0.02933728352957236,954,0.9968652037617555,0.003958077927626447,0.02933728352957236
"delta(ts_mean(open, 10), 5)",-0.00953760497120447,-0.04730039287687237,966,1.0,0.00953760497120447,0.04730039287687237
zscore_xs(low),-0.010948952294899674,-0.05098054179008382,975,1.0,0.010948952294899674,0.05098054179008382
"ts_rank(amount, 10)",-0.008068093750330976,-0.054809725970996565,971,1.0,0.008068093750330976,0.054809725970996565
"ts_mean(ret, 5)",-0.011171436037082429,-0.0593170220744842,974,1.0,0.011171436037082429,0.0593170220744842
"ts_mean(amount, 20)",-0.008309474809571315,-0.04563323654351744,966,1.0,0.008309474809571315,0.04563323654351744
zscore_xs(close),-0.010995522628259416,-0.05115724879695897,975,1.0,0.010995522628259416,0.05115724879695897
"ts_mean(open, 20)",-0.008009543283595827,-0.03721653302603554,966,1.0,0.008009543283595827,0.03721653302603554
"ts_rank(log(close), 10)",-0.02313379155362431,-0.1279634440603457,969,0.9979402677651905,0.02313379155362431,0.1279634440603457
"log(ts_rank(close, 10))",-0.02313379155362431,-0.1279634440603457,969,0.9979402677651905,0.02313379155362431,0.1279634440603457
"ts_mean(ts_rank(close, 10), 5)",-0.005996391681182899,-0.033514295268968104,970,1.0,0.005996391681182899,0.033514295268968104
"ts_mean(log(open), 10)",-0.007817222029866582,-0.036466970299004954,971,1.0,0.007817222029866582,0.036466970299004954
"delta(open, 10)",-0.014613079507688956,-0.06962335122286425,965,1.0,0.014613079507688956,0.06962335122286425
"log(ts_mean(amount, 20))",-0.008309474809571315,-0.04563323654351744,966,1.0,0.008309474809571315,0.04563323654351744
"log(ts_std(low, 10))",0.0006264927938658337,0.002728769528176424,971,1.0,0.0006264927938658337,0.002728769528176424
"ts_rank(log(open), 10)",-0.014889437220767195,-0.08184111953061976,969,0.9979402677651905,0.014889437220767195,0.08184111953061976
"ts_std(low, 10)",0.0006722337113208083,0.002927874006930321,971,1.0,0.0006722337113208083,0.002927874006930321
"delta(open, 1)",-0.010980856395016928,-0.058281706061563306,974,1.0,0.010980856395016928,0.058281706061563306
"zscore_xs(ts_rank(ret, 10))",-0.018894482324584273,-0.13095791209519012,970,0.9989701338825953,0.018894482324584273,0.13095791209519012
"delta(log(high), 1)",-0.014231116561267023,-0.07639322171179769,974,1.0,0.014231116561267023,0.07639322171179769
"ts_mean(high, 20)",-0.00794678234078827,-0.03686246659179099,966,1.0,0.00794678234078827,0.03686246659179099
"ts_rank(low, 10)",-0.0175904121865307,-0.09589904260232236,968,0.9969104016477858,0.0175904121865307,0.09589904260232236
"ts_std(volume, 10)",-0.002397191464676595,-0.013899674328623622,971,1.0,0.002397191464676595,0.013899674328623622
"zscore_xs(delta(open, 1))",-0.010981004919390368,-0.05828246782017328,974,1.0,0.010981004919390368,0.05828246782017328
"ts_mean(ts_std(high, 20), 5)",0.0013070839778250643,0.005707108844650315,965,1.0,0.0013070839778250643,0.005707108844650315
"zscore_xs(delta(open, 10))",-0.014615975759452211,-0.06963560969594515,965,1.0,0.014615975759452211,0.06963560969594515
zscore_xs(volume),-0.002067781232880866,-0.012017635000663064,975,1.0,0.002067781232880866,0.012017635000663064
zscore_xs(high),-0.010624836971276145,-0.04930651006545753,975,1.0,0.010624836971276145,0.04930651006545753
"ts_mean(delta(amount, 1), 5)",-0.0037717220578802058,-0.0251296674625077,973,1.0,0.0037717220578802058,0.0251296674625077
"zscore_xs(ts_mean(low, 5))",-0.007437117329423106,-0.0348378063651934,974,1.0,0.007437117329423106,0.0348378063651934
"ts_mean(ts_mean(volume, 20), 5)",0.00014199528544521197,0.0008179038958846038,965,1.0,0.00014199528544521197,0.0008179038958846038
"ts_mean(low, 5)",-0.007438618821019055,-0.03484472859769034,974,1.0,0.007438618821019055,0.03484472859769034
"ts_mean(low, 20)",-0.008176919997452776,-0.03806494664950602,966,1.0,0.008176919997452776,0.03806494664950602
"ts_rank(zscore_xs(low), 20)",-0.010536449895547162,-0.054402287823165564,966,1.0,0.010536449895547162,0.054402287823165564
zscore_xs(log(amount)),-0.011371200151115174,-0.06560637140947465,975,1.0,0.011371200151115174,0.06560637140947465
"ts_std(ret, 20)",0.012014581839364304,0.04706157199405542,966,1.0,0.012014581839364304,0.04706157199405542
"ts_rank(ts_rank(open, 10), 10)",-0.018128521363158442,-0.11696564969895339,967,1.0,0.018128521363158442,0.11696564969895339
"log(ts_mean(open, 10))",-0.0075977900453089945,-0.035413276355524756,971,1.0,0.0075977900453089945,0.035413276355524756
"delta(close, 10)",-0.020018924517569894,-0.09501178320747532,965,1.0,0.020018924517569894,0.09501178320747532
"ts_std(high, 5)",0.0025883449693564296,0.011269649315509445,974,1.0,0.0025883449693564296,0.011269649315509445
"ts_std(close, 10)",0.001557890841559236,0.0067940458492283,971,1.0,0.001557890841559236,0.0067940458492283
"ts_rank(ts_mean(ret, 20), 10)",-0.008440855765769834,-0.0533090062963538,956,0.9937629937629938,0.008440855765769834,0.0533090062963538
"ts_mean(log(high), 20)",-0.00806561580717151,-0.03742959154083263,966,1.0,0.00806561580717151,0.03742959154083263
