date,n_nodes,n_edges,density,n_triangles,n_4cliques,avg_clustering,transitivity,triangles_per_node,panic,pre_panic,normal
2020-04-09,80,2506,0.7930379746835443,49286,375,0.909803981766544,0.8961959947631285,616.075,1,0,0
2020-04-16,80,2490,0.7879746835443038,48285,354,0.9046423768486693,0.889330247235712,603.5625,1,0,0
2020-04-23,80,2466,0.7803797468354431,47384,451,0.9016334518535682,0.8867374882258638,592.3,0,0,1
2020-04-30,80,2262,0.7158227848101266,39959,306,0.8699099518275293,0.8627410056927362,499.4875,0,0,1
2020-05-08,80,2212,0.7,39213,414,0.8906839876566082,0.8726864044035282,490.1625,0,0,1
2020-05-15,80,2162,0.6841772151898734,37975,647,0.8781302008325349,0.8742077073006032,474.6875,0,0,1
2020-05-22,80,2095,0.6629746835443038,35510,718,0.8824421530763793,0.8627098466995456,443.875,0,0,1
2020-05-29,80,2082,0.6588607594936708,35187,526,0.8733257848048324,0.8622292286078348,439.8375,0,0,1
2020-06-05,80,1952,0.6177215189873417,31236,363,0.83915301335115,0.849427569140402,390.45,0,0,1
2020-06-12,80,1417,0.44841772151898734,16590,320,0.7586074754018618,0.7633435582822086,207.375,0,0,1
2020-06-19,80,551,0.17436708860759495,2613,160,0.528950100894692,0.5683317624882187,32.6625,0,0,1
2020-06-30,80,280,0.08860759493670886,723,54,0.4088640278582566,0.5040669300488032,9.0375,0,0,1
2020-07-07,80,306,0.09683544303797469,851,79,0.4062258995018283,0.4928571428571429,10.6375,0,0,1
2020-07-14,80,301,0.09525316455696202,837,67,0.3704116421609115,0.5218204488778054,10.4625,0,0,1
2020-07-21,80,252,0.07974683544303797,619,59,0.3634302149997488,0.5005390835579515,7.7375,0,0,1
2020-07-28,80,221,0.06993670886075949,428,44,0.31058654558494425,0.47679168213887857,5.35,0,0,1
2020-08-04,80,173,0.054746835443037975,245,32,0.30965537171806523,0.4150197628458498,3.0625,0,0,1
2020-08-11,80,143,0.045253164556962024,136,30,0.2844846708066017,0.35081685296646603,1.7,0,0,1
2020-08-18,80,101,0.03196202531645569,60,7,0.16222132034632036,0.297029702970297,0.75,0,0,1
2020-08-25,80,220,0.06962025316455696,347,39,0.356549518700254,0.4164,4.3375,0,0,1
2020-09-01,80,197,0.06234177215189873,226,39,0.37110143750146124,0.35873015873015873,2.825,0,0,1
2020-09-08,80,175,0.055379746835443035,140,32,0.2983318625818626,0.3010752688172043,1.75,0,0,1
2020-09-15,80,140,0.04430379746835443,95,15,0.2965855370474936,0.3019067796610169,1.1875,0,0,1
2020-09-22,80,166,0.052531645569620256,138,25,0.2873097041847042,0.3327974276527331,1.725,0,0,1
2020-09-29,80,205,0.06487341772151899,213,38,0.3092376557266263,0.3185443668993021,2.6625,0,0,1
2020-10-08,80,197,0.06234177215189873,194,38,0.32882000352588586,0.32048458149779735,2.425,0,0,1
2020-10-16,80,167,0.05284810126582278,136,26,0.33231951871657756,0.288135593220339,1.7,0,0,1
2020-10-23,80,165,0.05221518987341772,128,27,0.3366235555380292,0.25196850393700787,1.6,0,0,1
2020-10-30,80,182,0.05759493670886076,165,32,0.2691696974717662,0.3021978021978022,2.0625,0,0,1
2020-11-06,80,208,0.06582278481012659,233,37,0.3447990017099414,0.3257222739981361,2.9125,0,0,1
2020-11-13,80,254,0.08037974683544304,452,55,0.38637315747977513,0.40806500150466446,5.65,0,0,1
2020-11-20,80,95,0.030063291139240507,49,9,0.20845238095238097,0.2732342007434944,0.6125,0,0,1
2020-11-27,80,91,0.02879746835443038,54,9,0.20537774725274724,0.31094049904030713,0.675,0,0,1
2020-12-04,80,96,0.030379746835443037,63,12,0.27522284571723427,0.3321616871704745,0.7875,0,0,1
2020-12-11,80,89,0.028164556962025317,51,10,0.2918181818181818,0.3805970149253731,0.6375,0,0,1
2020-12-18,80,108,0.03417721518987342,76,14,0.2825441919191919,0.3619047619047619,0.95,0,0,1
2020-12-25,80,70,0.022151898734177215,31,4,0.23177489177489177,0.4170403587443946,0.3875,0,0,1
2021-01-04,80,76,0.024050632911392405,41,8,0.24519688644688645,0.411371237458194,0.5125,0,0,1
2021-01-11,80,77,0.024367088607594938,30,5,0.21772997835497834,0.3488372093023256,0.375,0,0,1
2021-01-18,80,88,0.027848101265822784,39,7,0.22214285714285714,0.3277310924369748,0.4875,0,0,1
2021-01-25,80,110,0.03481012658227848,57,7,0.3004220779220779,0.30158730158730157,0.7125,0,0,1
2021-02-01,80,117,0.037025316455696206,64,5,0.35401236746345444,0.29046898638426627,0.8,0,0,1
