,2049,2308,2317,1536,4571,2382,6121,2233,^TWII
T-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T-4,0.031943696600917004,0.0017676897416512016,-0.0036079202247871756,0.021542947443726757,-0.0011141546387523071,-0.008890204405470836,-0.0053694737876884835,0.06461354489176419,0.0
T-3,0.11156558929959148,-0.016152513922834233,0.010114671140444065,0.029784889445170215,-0.002070774336772052,-0.020132417204013597,-0.029053366212980936,0.052666741668349726,0.0
T-2,0.12846281683010852,-0.008007995564203618,-0.0019137211637496598,0.013637016892112053,0.002134599592800379,-0.07726189815517459,-0.04391863794979878,0.03829093152378049,0.0
T-1,0.10449345066020999,0.015001465045615392,-0.01598015870480718,-0.002055135311775036,-0.012684825608975547,-0.057730371043323236,-0.059746629053757605,0.03845534877063583,0.0
T0,0.16333205646708837,0.02137144961258608,-0.011715860929502941,0.01749535497148491,-0.0001862434148482972,-0.034481652515855776,-0.05049480010638341,0.04770717771801003,0.0
T1,0.16930152799814047,0.05159247519608301,-0.008595671152742623,0.013134247990140402,-0.0013005971494395308,-0.02018024005707586,-0.03357931134304715,0.104378934586431,0.0
T2,0.1820451487308603,0.0996267811408924,-0.009387426854968295,-0.00923334706319423,-0.022795465200663,-0.004213735887984571,-0.04047990841702087,0.09082565546271182,0.0
T3,0.22184768064418225,0.09190865189718966,0.03276975562202722,-0.002533334722146785,-0.017526581457352863,-0.027483964665124372,-0.009900165320297916,0.1535300614302768,0.0
T4,0.1830987310973975,0.0763752214396467,0.057359360515587765,-0.045267680947429945,0.08126874290377262,-0.06327994324677921,-0.032211039724945545,0.05957799233978345,0.0
T5,0.11357824509991787,0.09673374561198167,0.005506482358012654,-0.054947397082124816,0.014404691380909496,-0.09456604239542266,-0.0481678424682197,0.0345711446459549,0.0
