ticker,ytd_return,ret_1y,ann_vol,sharpe,beta_60d_vs_NVDA,r2_full_vs_NVDA,r2_60d_vs_NVDA,corr_full_vs_NVDA,n_obs,weight_07,weight_02,in_07,in_02,pass_beta_filter
2308.TW,1.0301507537688441,4.526704396774989,0.47825737160660114,5.473855210425369,0.08030733682241169,0.0021280367723986735,0.0024044651983358184,0.04613064894838001,341,0.06,0.1,True,True,False
5289.TWO,1.0,4.359227293330405,0.618457640034424,5.5840233635019185,0.08149558839752712,0.0007493798320208549,0.0010676737461632882,0.027374802867251025,341,0.1,,True,False,False
6857.T,0.6042780748663101,3.7917499186668193,0.6645105406215447,3.1086989344750204,0.4756563972012727,0.006385861098552482,0.05936021771732471,0.07991158300617303,339,0.04,,True,False,False
6981.T,0.5267093478414653,1.4977535218269136,0.44360584434339,1.8712437828814714,0.03880498664790809,0.0001429082064820765,0.0005803162278816908,0.01195442204717888,339,0.03,0.05,True,True,False
SYM,-0.08247266937413922,1.4862155025054866,0.8914788045427949,2.0114301736172764,0.8765808895402976,0.16024961798997758,0.2903617337079048,0.4003119008847696,341,0.04,,True,False,False
688041.SS,0.32066045435995094,1.0323586784631225,0.5545995257157615,1.8190814008623994,0.2491935785537637,0.007901837444997301,0.04460976576219017,0.08889228000786852,341,,0.1,False,True,False
NVDA,0.14705703160780503,0.845966043438563,0.4573058566999414,1.1521028076809745,1.0,1.0,1.0,1.0,341,0.2,0.1,True,True,True
SERV,-0.16398982188459266,0.5076220167057284,1.1344094035060301,0.35389224649876305,1.2737355021751855,0.173602212116966,0.3712283034015374,0.4166559877368451,341,0.0,,True,False,True
1597.TW,0.5136986301369864,0.3755254217263493,0.45743792873316735,0.0044865284299030065,0.19978855910556984,0.0033672804526871064,0.01672481952593441,0.05802827287354938,341,,0.08,False,True,False
2382.TW,0.17509025270758127,0.35597783266590577,0.3580772752070348,0.5960507493586623,0.18430270307622404,0.006754822491089349,0.04446132647365948,0.08218772713178865,341,0.15,,True,False,False
9880.HK,-0.1824427597395336,0.3279602783361999,0.7162838896868396,1.6061474598051613,0.1264464867462997,0.005173956035248418,0.006350875114505336,0.07193021642709285,341,,0.1,False,True,False
6230.TW,0.3948497854077253,0.20554308020015255,0.5421834380735701,0.0007288767171139268,-0.20208491425822903,0.00012215330394359158,0.012425447949786426,0.011052298581905557,341,,0.05,False,True,False
4533.TWO,0.3139013560308399,0.13129144726604625,0.477635649500063,-0.06305529874910012,0.03604031991182535,0.00035359483093859434,0.0005733213675117095,0.01880411739323583,341,,0.06,False,True,False
002472.SZ,-0.18835689377592835,0.12939727678610913,0.41108990149801616,0.7523892426814015,0.17749187666783278,0.006863247614779736,0.051456286154732016,0.08284471989680293,341,,0.15,False,True,False
2395.TW,0.2670157068062826,0.08688066893488777,0.3399486406078242,0.30079540705672864,-0.08369042454869646,0.002958359240765778,0.004999270544392965,-0.05439080106751304,341,0.18,,True,False,False
6245.TWO,0.16983891589771383,0.016960685151046873,0.3721563417442939,-0.2770305462936888,-0.24030094806954894,0.0005274299857105534,0.06690841617832431,-0.022965843892845596,341,0.05,,True,False,False
6594.T,0.14821763602251403,-0.051162790697674376,0.4918739221111419,0.02000073603377647,0.04430299317016138,0.0006933647077502373,0.0014337702916364361,-0.02633181930194413,339,0.03,0.06,True,True,False
300124.SZ,-0.12730656755847425,-0.06307698196042133,0.3451000384207552,0.507100645850389,0.07914976863479165,0.00043064622247371417,0.011243884555205285,0.020752017310943872,341,,0.15,False,True,False
2359.TW,-0.14341085271317833,-0.15330571009300542,0.4329357909551404,-0.45579025639520093,0.07811591236571994,0.001241064183366611,0.005601664849540643,0.03522874087114967,341,0.08,,True,False,False
8234.TWO,-0.1630137195325878,-0.16566037492103025,0.5412518251834083,0.16055129845506227,-0.04514899413762047,0.0009446636826821266,0.001464570180055372,0.030735381609508717,341,0.04,,True,False,False
